id,target
2293,0
2295,1
2302,1
2305,1
2310,1
2313,1
2316,1
2320,0
2322,0
2323,1
2326,0
2328,0
2331,1
2335,1
2338,0
2343,0
2344,0
2345,0
2353,0
2355,1
2357,1
2360,0
2365,1
2369,0
2371,0
2378,0
2380,1
2381,1
2383,0
2384,0
2392,0
2393,1
2401,0
2403,0
2404,0
2405,1
2407,1
2411,0
2424,1
2426,1
2431,1
2433,0
2434,1
2436,0
2439,0
2444,1
2447,1
2448,1
2449,1
2450,0
2461,1
2469,0
2472,1
2473,1
2474,1
2477,0
2481,0
2484,0
2495,0
2503,0
2509,0
2511,0
2518,0
2522,0
2525,0
2526,0
2529,0
2533,0
2549,1
2551,1
2558,0
2562,0
2563,1
2567,0
2574,0
2577,1
2578,0
2580,1
2581,1
2583,1
2584,0
2586,0
2589,0
2595,0
2596,0
2600,0
2601,0
2607,0
2610,0
2613,0
2615,0
2618,1
2620,0
2623,1
2626,0
2630,1
2634,0
2636,0
2638,0
2639,1
2646,1
2650,1
2652,0
2653,0
2654,0
2662,0
2665,0
2669,1
2674,0
2678,0
2681,0
2685,0
2686,0
2690,0
2697,1
2699,0
2704,1
2705,0
2710,0
2712,0
2713,0
2716,0
2717,1
2718,0
2721,1
2722,1
2735,1
2737,1
2738,0
2742,0
2745,1
2746,0
2747,0
2750,0
2751,1
2754,0
2762,0
2764,0
2772,0
2775,0
2776,1
2779,1
2781,1
2789,0
2790,1
2791,0
2798,0
2800,1
2804,0
2805,1
2806,0
2809,1
2810,0
2812,0
2814,0
2816,0
2818,1
2823,1
2824,0
2834,1
2837,1
2840,1
2845,1
2847,0
2848,0
2850,0
2859,0
2862,0
2868,1
2874,1
2876,0
2892,0
2894,0
2897,1
2901,0
2903,0
2904,0
2906,1
2914,0
2918,1
2919,0
2923,0
2926,1
2928,0
2930,0
2938,0
2940,1
2949,1
2951,0
2958,1
2961,0
2962,1
2964,0
2966,0
2967,1
2968,1
2972,0
2977,1
2978,0
2979,1
2981,1
2985,0
2986,1
2989,0
2994,0
2996,0
2997,0
2999,1
3002,1
3007,0
3008,1
3017,1
3020,0
3024,0
3028,0
3031,0
3032,1
3033,0
3035,0
3040,0
3041,1
3046,1
3050,0
3063,1
3065,1
3067,1
3069,1
3076,1
3078,1
3081,0
3087,0
3088,0
3094,0
3096,1
3098,0
3103,1
3110,0
3113,0
3121,1
3127,1
3128,0
3129,1
3135,0
3143,1
3146,1
3148,0
3149,1
3151,0
3156,0
3160,1
3164,1
3169,1
3178,0
3187,1
3194,0
3202,1
3203,0
3204,0
3206,0
3207,0
3208,1
3209,1
3213,0
3214,0
3215,0
3220,1
3223,0
3224,0
3226,0
3228,0
3230,0
3232,0
3233,0
3234,1
3238,0
3246,0
3247,0
3250,0
3251,0
3254,0
3257,1
3258,0
3261,0
3267,1
3268,1
3269,0
3271,0
3272,1
3273,0
3279,0
3290,0
3291,1
3293,0
3294,1
3298,1
3305,0
3306,1
3307,1
3310,0
3313,1
3314,0
3315,1
3316,1
3321,0
3325,0
3326,1
3327,1
3330,1
3331,0
3332,0
3333,0
3343,0
3344,0
3348,0
3349,0
3350,1
3352,0
3353,1
3354,1
3358,1
3360,0
3366,0
3371,0
3374,0
3375,0
3378,0
3382,0
3384,0
3385,0
3386,0
3392,1
3399,1
3407,1
3409,0
3416,1
3420,0
3422,1
3424,1
3426,1
3427,0
3434,0
3438,0
3441,0
3442,0
3443,1
3444,0
3449,0
3453,0
3454,0
3456,1
3457,0
3458,1
3461,0
3467,1
3479,1
3488,0
3491,0
3496,1
3502,0
3507,0
3511,0
3515,1
3516,0
3538,0
3539,1
3541,0
3545,0
3546,1
3547,0
3551,0
3553,0
3556,0
3558,1
3559,1
3561,0
3562,1
3563,0
3564,0
3571,1
3574,0
3576,0
3577,1
3579,0
3580,1
3586,0
3590,1
3599,0
3600,1
3601,1
3605,1
3606,1
3612,1
3614,0
3615,1
3616,1
3620,0
3622,0
3624,0
3630,1
3644,0
3649,0
3651,1
3654,0
3665,0
3668,1
3671,0
3672,1
3673,0
3677,0
3678,1
3687,1
3688,1
3693,0
3698,0
3699,0
3701,1
3703,1
3706,1
3707,1
3709,0
3711,0
3714,1
3716,1
3720,1
3728,0
3731,0
3732,0
3733,1
3734,1
3740,0
3746,1
3749,1
3751,1
3755,1
3757,0
3762,0
3767,1
3769,0
3779,0
3781,0
3782,1
3783,1
3784,0
3790,0
3791,1
3792,0
3794,0
3799,0
3801,1
3804,0
3808,1
3809,0
3811,0
3813,0
3817,0
3818,0
3823,1
3843,1
3844,0
3846,1
3847,1
3852,1
3854,0
3856,1
3863,1
3865,1
3867,1
3871,0
3872,0
3878,0
3880,0
3881,0
3882,0
3883,0
3884,0
3885,1
3886,0
3890,1
3891,0
3898,1
3902,0
3909,0
3910,0
3912,0
3915,1
3918,1
3920,0
3925,0
3928,0
3929,1
3930,1
3931,0
3934,0
3939,0
3941,0
3942,1
3943,1
3946,0
3963,1
3965,0
3966,1
3971,1
3972,1
3974,1
3976,1
3978,0
3981,0
3985,1
3986,0
3987,0
3988,0
3991,0
3999,1
4001,1
4002,1
4004,1
4007,1
4009,1
4013,0
4015,1
4016,1
4023,0
4031,0
4035,1
4036,1
4037,0
4040,0
4048,0
4053,1
4056,1
4059,0
4066,1
4067,1
4069,0
4070,1
4071,1
4073,0
4074,0
4075,0
4082,0
4090,0
4099,0
4102,1
4106,0
4109,1
4110,0
4115,1
4118,1
4120,0
4125,1
4126,1
4130,0
4134,1
4136,0
4137,0
4144,0
4148,1
4151,0
4155,0
4162,1
4165,1
4169,0
4174,0
4179,0
4185,1
4186,0
4187,1
4188,1
4190,1
4192,0
4193,1
4194,0
4195,0
4196,1
4207,0
4208,0
4215,1
4217,1
4222,0
4223,1
4226,0
4228,0
4229,0
4231,0
4234,1
4236,0
4249,0
4254,0
4258,0
4259,0
4263,1
4267,1
4277,0
4278,0
4280,0
4283,0
4285,0
4286,1
4287,0
4290,0
4291,0
4294,0
4302,0
4308,0
4310,0
4311,1
4315,0
4316,0
4319,0
4331,0
4338,1
4339,1
4340,1
4344,0
4346,0
4347,1
4360,0
4364,0
4367,0
4369,0
4370,0
4371,1
4380,1
4386,1
4389,1
4390,0
4394,1
4399,1
4400,1
4404,0
4409,1
4414,0
4417,0
4418,1
4419,0
4420,0
4422,1
4429,0
4431,1
4433,0
4434,1
4439,1
4443,0
4446,1
4447,1
4453,0
4460,0
4461,1
4462,1
4467,1
4469,1
4473,1
4474,0
4475,0
4477,0
4481,1
4483,0
4484,0
4485,0
4495,0
4497,1
4500,0
4501,0
4502,1
4505,0
4506,0
4510,0
4512,0
4513,0
4532,1
4535,1
4536,0
4540,1
4545,1
4552,1
4554,0
4555,1
4558,0
4559,1
4560,0
4566,0
4570,1
4572,0
4574,0
4581,1
4583,1
4586,0
4591,0
4594,0
4603,0
4605,0
4612,1
4613,1
4615,1
4618,1
4621,1
4623,0
4626,0
4629,0
4633,1
4636,0
4638,0
4640,0
4643,1
4645,1
4647,0
4648,1
4651,0
4652,0
4653,0
4654,1
4660,0
4662,1
4663,1
4665,0
4668,0
4676,0
4683,1
4685,1
4686,1
4701,1
4718,0
4721,1
4727,0
4728,0
4733,1
4741,0
4743,0
4746,1
4751,0
4756,0
4761,0
4763,1
4764,0
4767,1
4772,1
4776,0
4780,1
4781,0
4792,0
4796,0
4801,0
4804,0
4805,1
4806,0
4811,0
4815,0
4816,0
4817,0
4818,0
4822,1
4824,0
4827,1
4837,1
4838,0
4839,1
4841,0
4851,1
4855,0
4861,0
4862,1
4863,0
4865,1
4871,0
4873,0
4880,0
4885,0
4886,0
4902,1
4904,1
4907,0
4916,1
4921,0
4925,1
4927,0
4928,0
4930,1
4932,1
4933,1
4937,0
4939,0
4941,0
4942,1
4947,0
4949,1
4950,1
4956,0
4960,1
4963,0
4965,1
4976,1
4977,0
4987,1
4991,0
4994,1
4999,0
5003,0
5006,1
5009,1
5011,0
5012,0
5014,1
5020,0
5021,0
5023,0
5026,0
5030,1
5031,0
5036,1
5042,0
5045,1
5048,0
5051,0
5053,0
5054,0
5057,1
5058,1
5066,0
5070,0
5077,1
5081,1
5084,0
5086,0
5090,0
5091,0
5093,0
5100,0
5108,1
5111,1
5112,0
5118,1
5121,0
5123,0
5129,1
5133,1
5143,1
5147,0
5151,1
5156,0
5158,0
5161,1
5163,1
5167,0
5173,0
5205,1
5214,0
5215,0
5216,0
5217,0
5225,1
5237,0
5239,1
5240,0
5241,1
5246,1
5250,0
5253,0
5258,0
5261,0
5268,0
5275,0
5277,0
5279,0
5288,1
5289,0
5294,0
5303,0
5307,0
5311,0
5312,0
5314,0
5318,1
5327,0
5329,0
5333,0
5334,0
5340,1
5348,1
5358,1
5360,1
5361,0
5363,0
5364,0
5369,1
5370,0
5374,0
5376,0
5388,0
5390,0
5393,1
5394,1
5395,1
5398,0
5399,1
5401,1
5402,0
5405,1
5414,1
5415,1
5419,0
5421,0
5422,0
5424,0
5427,1
5429,1
5431,0
5433,1
5434,1
5435,1
5436,0
5438,0
5440,0
5441,1
5447,1
5451,0
5453,1
5456,1
5457,1
5463,1
5464,1
5470,0
5472,0
5474,1
5478,0
5483,0
5490,0
5500,1
5504,0
5508,0
5511,1
5512,0
5513,1
5516,1
5523,0
5527,0
5530,0
5533,1
5536,0
5537,0
5542,0
5543,0
5546,1
5549,0
5550,0
5551,1
5562,0
5566,0
5568,1
5571,0
5572,0
5574,0
5583,0
5585,0
5591,1
5596,1
5597,1
5601,0
5606,0
5607,0
5610,0
5615,1
5616,1
5623,0
5630,1
5636,0
5637,0
5639,0
5640,1
5643,1
5648,1
5649,1
5660,0
5666,0
5667,0
5678,1
5679,0
5681,0
5682,0
5691,0
5696,1
5697,0
5700,0
5701,1
5702,0
5708,1
5709,1
5718,0
5723,0
5725,1
5728,1
5731,0
5735,1
5737,1
5738,1
5742,0
5747,0
5749,1
5750,1
5755,0
5756,0
5761,0
5762,0
5767,1
5768,1
5770,0
5773,0
5774,0
5779,0
5782,1
5785,0
5786,0
5787,1
5788,1
5796,0
5802,1
5806,0
5809,1
5810,0
5811,0
5813,0
5820,1
5823,0
5830,1
5831,1
5838,1
5839,0
5844,0
5846,1
5851,1
5852,1
5857,0
5859,0
5860,1
5862,0
5865,1
5866,0
5871,1
5872,1
5877,1
5878,0
5879,1
5880,0
5895,1
5897,0
5910,0
5914,0
5915,1
5917,1
5924,1
5926,1
5931,0
5936,0
5940,0
5941,1
5945,1
5946,0
5948,1
5951,1
5967,0
5968,1
5969,1
5970,1
5971,1
5973,1
5976,1
5977,0
5984,1
5986,0
5993,0
5994,0
6005,0
6006,1
6008,0
6010,1
6011,0
6014,0
6016,0
6018,1
6021,0
6025,1
6028,1
6029,0
6035,0
6040,0
6042,1
6044,0
6046,0
6052,0
6054,1
6062,0
6063,1
6067,1
6068,1
6077,0
6079,0
6080,1
6081,0
6082,0
6089,0
6095,1
6101,1
6107,1
6114,0
6117,1
6121,1
6122,1
6124,1
6129,1
6131,0
6136,0
6139,0
6142,1
6143,1
6144,1
6149,1
6155,0
6157,0
6158,0
6161,0
6168,0
6172,1
6176,0
6177,0
6179,0
6180,0
6182,0
6186,0
6189,1
6190,0
6194,0
6204,1
6205,0
6209,1
6210,0
6212,1
6214,0
6221,1
6225,0
6228,1
6229,0
6231,0
6235,0
6236,1
6237,0
6238,1
6239,1
6242,1
6249,1
6250,0
6251,1
6252,1
6260,0
6264,0
6266,0
6270,0
6275,0
6279,1
6280,0
6284,1
6285,1
6286,1
6287,1
6288,0
6289,0
6290,0
6291,1
6295,0
6298,1
6307,1
6308,1
6309,0
6313,1
6316,1
6319,0
6321,0
6324,0
6327,0
6333,0
6351,0
6352,0
6353,1
6357,1
6359,0
6360,0
6364,1
6367,0
6368,0
6377,0
6378,0
6379,1
6381,0
6390,1
6401,0
6408,0
6409,0
6411,1
6419,0
6424,0
6426,1
6428,0
6431,0
6432,1
6433,0
6435,0
6437,0
6439,1
6442,0
6444,0
6447,0
6456,0
6457,0
6460,1
6468,0
6471,0
6475,1
6476,1
6479,0
6483,0
6487,0
6488,0
6489,0
6496,1
6498,0
6502,0
6503,0
6507,1
6508,0
6509,1
6517,1
6521,1
6522,1
6524,0
6526,0
6531,0
6533,1
6538,0
6539,1
6544,0
6557,0
6558,0
6562,1
6563,1
6564,0
6574,1
6578,0
6581,0
6584,0
6587,1
6589,1
6590,0
6592,0
6595,1
6599,1
6600,1
6606,0
6609,0
6612,0
6615,0
6618,0
6620,1
6623,1
6633,1
6639,1
6640,0
6641,0
6645,1
6650,0
6651,1
6652,1
6657,1
6659,1
6666,0
6671,1
6673,0
6674,1
6677,1
6680,1
6684,0
6685,0
6691,1
6692,1
6696,1
6698,0
6704,0
6705,0
6710,1
6713,1
6715,0
6717,1
6718,1
6720,0
6728,0
6732,0
6733,0
6739,0
6740,0
6741,0
6743,0
6747,1
6750,0
6752,0
6753,1
6755,0
6761,1
6763,1
6768,0
6770,0
6771,1
6777,0
6778,0
6780,0
6782,1
6786,1
6791,0
6797,1
6798,1
6803,0
6805,0
6812,0
6816,0
6818,0
6822,0
6825,1
6826,1
6827,1
6829,1
6831,0
6836,0
6838,0
6840,0
6842,1
6846,0
6851,0
6853,0
6856,1
6859,0
6865,0
6866,0
6868,1
6869,0
6871,0
6873,0
6886,0
6887,0
6888,1
6889,1
6891,1
6894,0
6895,1
6899,1
6901,0
6902,0
6904,0
6906,1
6922,0
6923,1
6924,0
6927,0
6934,0
6938,1
6941,1
6942,0
6944,0
6947,0
6952,1
6957,1
6958,0
6964,1
6968,1
6969,1
6976,1
6982,0
6986,0
6987,0
6989,1
6991,1
6993,0
6995,1
6997,0
7000,1
7003,0
7004,0
7007,0
7011,1
7014,0
7016,1
7017,0
7020,0
7022,1
7028,0
7033,0
7034,1
7035,1
7038,0
7040,0
7041,0
7042,0
7045,0
7049,0
7055,0
7057,0
7062,0
7064,1
7066,0
7067,1
7072,0
7079,0
7082,0
7083,0
7084,1
7085,0
7087,0
7090,0
7094,0
7096,0
7099,0
7100,1
7101,0
7102,0
7103,0
7107,0
7110,1
7113,0
7117,1
7119,0
7123,1
7127,0
7133,0
7139,0
7143,0
7145,1
7151,1
7152,1
7153,0
7156,0
7162,1
7170,0
7172,0
7177,1
7181,0
7182,0
7189,1
7190,0
7200,1
7207,0
7209,1
7212,1
7216,1
7217,0
7219,0
7220,0
7222,1
7225,0
7233,0
7237,1
7238,1
7239,0
7240,0
7243,0
7245,1
7246,0
7249,1
7257,0
7258,1
7259,0
7262,1
7263,1
7269,1
7271,0
7273,1
7276,1
7279,1
7282,1
7284,0
7293,0
7298,0
7303,0
7304,1
7305,0
7308,0
7313,1
7314,0
7321,0
7322,0
7327,0
7333,0
7336,0
7339,1
7341,0
7346,0
7347,0
7349,1
7351,1
7353,0
7363,1
7364,1
7368,0
7370,0
7375,0
7376,1
7379,1
7382,1
7384,0
7385,1
7387,0
7388,1
7389,0
7394,0
7396,0
7398,0
7399,0
7401,1
7404,1
7406,0
7409,1
7411,0
7417,0
7420,1
7422,0
7423,0
7427,1
7429,0
7432,0
7435,0
7436,1
7440,0
7441,0
7445,0
7448,1
7449,0
7450,1
7454,0
7455,0
7460,1
7462,1
7464,1
7466,1
7468,0
7469,0
7471,0
7472,0
7483,0
7484,0
7485,1
7486,1
7487,0
7489,0
7492,0
7495,0
7499,1
7500,0
7506,0
7508,1
7509,1
7511,0
7516,1
7524,0
7538,1
7539,1
7541,1
7546,0
7549,0
7562,1
7564,0
7567,0
7572,0
7574,1
7575,1
7586,0
7592,1
7596,0
7597,0
7599,1
7606,0
7615,0
7618,0
7620,1
7624,1
7625,1
7629,1
7632,0
7636,0
7637,1
7646,1
7655,0
7658,0
7660,1
7664,1
7665,1
7666,1
7667,1
7673,0
7676,0
7682,0
7684,0
7690,0
7697,1
7700,0
7704,1
7705,1
7706,0
7708,0
7709,0
7710,0
7713,1
7716,1
7726,1
7729,1
7730,0
7732,1
7734,0
7740,0
7741,0
7745,0
7757,0
7762,1
7770,0
7776,0
7777,0
7778,0
7779,1
7782,0
7786,0
7791,1
7792,1
7794,0
7795,1
7796,0
7798,0
7805,1
7806,0
7808,0
7811,0
7814,1
7819,0
7820,1
7825,0
7829,1
7834,0
7836,0
7838,0
7841,1
7845,1
7846,0
7853,0
7856,1
7858,1
7859,1
7866,1
7875,0
7879,1
7884,1
7886,1
7890,1
7892,1
7896,1
7899,1
7900,0
7901,1
7904,0
7911,0
7917,0
7919,0
7920,1
7921,0
7922,0
7925,0
7927,1
7928,0
7931,1
7942,1
7946,0
7947,1
7948,0
7951,0
7956,0
7961,1
7964,0
7966,1
7967,1
7974,1
7975,0
7979,1
7985,1
7986,0
7993,0
7995,1
7997,0
7998,1
8004,1
8007,1
8011,0
8014,1
8022,0
8027,0
8033,0
8041,1
8042,1
8046,1
8048,0
8050,1
8051,0
8052,0
8053,0
8054,1
8059,0
8063,0
8072,0
8075,1
8076,0
8077,0
8078,1
8080,0
8082,0
8086,1
8090,1
8092,1
8093,0
8099,1
8104,0
8107,0
8108,1
8114,1
8115,0
8117,0
8123,1
8124,0
8127,1
8132,0
8134,0
8139,0
8145,0
8148,0
8151,1
8152,0
8153,1
8157,1
8160,0
8166,0
8167,0
8173,0
8174,1
8178,0
8179,1
8185,1
8186,0
8192,1
8193,1
8194,1
8197,1
8198,1
8199,1
8200,0
8206,1
8207,0
8220,0
8222,0
8227,0
8228,0
8229,0
8230,1
8233,1
8248,0
8249,0
8255,0
8260,0
8263,1
8265,1
8268,1
8269,1
8272,0
8273,0
8275,1
8277,0
8281,0
8282,0
8290,0
8293,0
8299,0
8302,1
8303,1
8305,1
8306,0
8307,1
8308,0
8313,0
8316,0
8319,0
8322,0
8323,1
8325,1
8326,1
8327,0
8328,1
8331,0
8333,1
8336,1
8338,1
8340,1
8342,0
8343,0
8353,0
8354,0
8357,0
8358,0
8359,0
8373,0
8376,0
8379,1
8380,1
8381,0
8384,1
8395,0
8398,0
8403,1
8407,0
8413,0
8417,1
8420,1
8421,0
8424,0
8426,0
8427,1
8438,0
8439,0
8442,0
8449,0
8456,1
8460,0
8462,0
8465,1
8466,1
8467,1
8469,1
8470,0
8474,1
8479,0
8481,1
8482,1
8485,0
8488,0
8492,0
8493,0
8495,0
8499,0
8501,1
8519,0
8521,0
8525,0
8527,1
8529,1
8532,0
8534,1
8535,0
8537,1
8544,1
8548,1
8549,1
8552,1
8554,1
8563,0
8564,0
8565,1
8566,0
8568,1
8569,0
8573,1
8583,0
8588,0
8590,1
8592,1
8593,0
8594,1
8597,0
8600,0
8601,1
8602,1
8603,1
8604,0
8605,0
8611,1
8614,1
8616,1
8617,1
8619,1
8626,0
8629,1
8630,0
8632,0
8634,0
8641,0
8645,0
8649,0
8652,1
8666,1
8671,1
8672,0
8675,0
8678,1
8679,0
8682,0
8687,0
8701,1
8703,1
8707,1
8713,0
8716,0
8719,1
8725,0
8730,1
8731,0
8748,0
8749,1
8756,1
8764,0
8765,1
8769,0
8771,1
8772,1
8773,0
8779,0
8792,1
8794,0
8796,0
8798,1
8803,0
8807,0
8809,0
8811,0
8813,1
8814,0
8818,0
8819,0
8820,0
8821,0
8822,0
8824,0
8826,1
8827,0
8828,0
8833,0
8834,0
8845,0
8847,0
8849,1
8861,0
8867,0
8868,0
8870,0
8873,1
8874,1
8876,0
8877,1
8879,1
8882,0
8884,0
8889,0
8891,1
8894,1
8895,0
8897,0
8898,1
8901,0
8904,0
8909,0
8910,1
8911,1
8915,0
8917,0
8918,0
8919,1
8922,1
8925,0
8928,0
8929,1
8930,0
8932,1
8937,1
8940,0
8943,1
8950,1
8951,0
8954,1
8958,0
8960,1
8964,0
8975,0
8977,0
8981,0
8982,1
8984,0
8988,0
8990,1
8991,0
8995,0
8997,0
9003,0
9004,0
9010,1
9011,1
9013,0
9014,1
9015,1
9017,0
9019,1
9021,0
9024,0
9032,0
9035,1
9036,1
9037,0
9043,0
9046,1
9048,0
9049,0
9050,1
9056,0
9063,0
9065,1
9066,1
9068,0
9069,1
9070,1
9073,1
9076,0
9091,1
9092,1
9104,0
9105,1
9108,1
9111,0
9115,0
9117,0
9122,0
9125,0
9127,0
9129,1
9133,0
9136,1
9138,0
9140,1
9147,1
9150,1
9152,1
9153,1
9155,1
9158,0
9160,0
9163,0
9165,1
9167,0
9168,0
9170,0
9176,0
9178,1
9184,0
9186,0
9188,0
9189,1
9190,0
9196,0
9198,1
9199,0
9200,0
9201,0
9202,0
9204,0
9205,0
9213,1
9214,1
9224,0
9227,0
9228,1
9229,1
9234,1
9236,0
9241,1
9243,1
9245,1
9256,1
9258,0
9261,1
9274,0
9279,1
9282,0
9284,0
9285,0
9291,0
9295,1
9299,1
9302,1
9304,1
9305,0
9306,1
9310,1
9312,0
9316,0
9318,0
9323,0
9326,0
9327,1
9328,1
9331,0
9335,0
9336,1
9340,1
9349,1
9352,0
9353,1
9354,0
9356,1
9357,1
9358,0
9359,0
9364,1
9366,1
9369,0
9370,0
9379,1
9381,0
9383,1
9389,0
9390,0
9392,0
9394,1
9398,1
9399,1
9400,0
9407,1
9409,0
9412,1
9413,0
9415,1
9419,1
9423,0
9424,1
9426,0
9427,0
9428,1
9429,0
9433,1
9437,1
9440,0
9442,1
9443,1
9444,0
9447,0
9459,1
9461,0
9462,1
9464,1
9473,0
9475,0
9476,0
